name,code
Audi,AUDI
BMW,BMW
Chevrolet,CHEVROLET
Ford,FORD
Kia,KIA
Mazda,MAZDA
Mercedes,MERCEDES
Mitsubishi,MITSUBISHI
Toyota,TOYOTA
Honda,HONDA
Hyundai,HYUNDAI
Bentley,BENTLEY
Lexus,LEXUS
Nissan,NISSAN
Porsche,PORSCHE
Renault,RENAULT
Daewoo,DAEWOO
Volkswagen,VOLKSWAGEN
Suzuki,SUZUKI
Luxgen,LUXGEN
Cadillac,CADILLAC
UAZ,UAZ
Zoyte,ZOYTE
Isuzu,ISUZU
Peugeot,PEUGEOT
SsangYong,SSANGYONG
Baic,BAIC
